CODIGO         DESCRIPCION                                                 STOCK         PRECIO
===============================================================================================
BIT-434        Campana Extractora modelo Glass                                 0         375.09
SSE-115        Refrigeradora  CoolStyle 311N Steel                            10        3243.58
NMV-644        Lavadora Automatica                                             0        3272.48
MLE-193        Cocina a gas Ingenious                                          6        2779.41
YYK-309        Refrigeradora Door in Door                                     13        4079.44
QVJ-982        Horno Microondas 0.7 p3                                         1        1352.76
VZV-827        Refrigeradora Top Mount                                         0        1784.27
HFC-845        Televisor Serie LED R555A                                       7        3736.75
AVM-258        Cocina a gas Toscana                                            4        2831.23
YUQ-590        Refrigeradora  CoolStyle 395N Steel                             0        1979.07
FLJ-040        Parlantes portatiles SOUNDSHOOTER                               4        3703.37
EUZ-452        Impresora Mutifuncional Led Color                               3        3623.88
SPR-580        Dispensador de Agua                                             6         404.35
WLL-607        Cocina Electronica Convencion                                   0        1525.04
UWA-476        Autoradio MEX BT3150U                                           2        1191.39
YOT-530        Deshumedecedor DM-190H                                          1         941.73
NSR-955        Cocina a gas Blogna                                            12        2591.44
SJD-818        Refrigeradora  CoolStyle 281A Steel                            18        3387.75
BCK-361        Tablets 10.1                                                    0        1872.53
ZAF-449        Tablet Cardle                                                  13         816.43
OBI-353        Terma Milenium                                                  5        2960.56
SNY-500        Cocina a gas Praga Quarzo                                       0        3297.09
CSZ-863        Video Filmadora                                                 5        1713.57
TMJ-043        Lavadora EcoBubble                                              2        2400.79
MTF-868        Impresora Monocromatica WorkForce M205                          1         971.59
BMJ-772        Refrigeradora Side by Side                                     11         936.32
MYC-756        Cocina a gas Leganza INOX                                      15        1506.80
FCN-617        Televisor Plasma 60                                             5        4121.05
ONB-903        Reproductor BLU-RAY 3D                                         10         653.67
VXS-438        Mouse Blue Tooth                                                0          60.11
GLC-370        Video Proyector Power Lite 95                                   7         552.24
OPT-996        Mini componente GPX88                                           3        1367.48
PFD-286        Refrigeradora cap. 415 litros                                   0        2776.02
KBY-991        Home Theater E4100                                              6        1101.08
KQQ-136        Impresora Laser EPSON                                           1        1139.56
NSM-283        Cocina a gas FFG3053SL                                          6         936.81
ICX-503        Cocina a gas Roma                                               4        1221.02
LDR-510        Mini componente ESX9                                           10        2701.87
PJG-338        Impresora Mutifuncional Inalambricar                           14        1067.80
ISB-205        Camara fotografica 16MP                                         3        2976.43
UDR-957        Refrigeradora ECOTT 423 IXL                                    15         861.70
RAH-420        Cocina a gas Pro 6550 INOX                                      1         157.01
JDQ-505        Lavadora Modelo Aquamatic                                      13        1572.31
PPX-620        Aire acondicionado tipo split                                   7        2873.42
XZG-521        Secadora Electrica FAQE7001LW                                  15         704.27
VJI-529        Horno Empotrable Electrico                                      2        1102.67
JCW-489        Conservadora Exibidora CMVE-250                                 1        2064.97
OTS-581        Galaxy Note 8.0                                                14        2653.10
UTN-601        Autoradio XAV-601 BT                                            1         562.51
TZY-323        Terma a gas                                                     1        2341.01
TXM-139        Televisor LED FULL HD 3D                                        0        1092.95
ADX-669        Refrigeradora cap. 220 litros                                  11        1239.38
QRC-609        Camara de video EOS                                             0        1806.66
YJD-279        Cocina a gas Florencia                                          5        1028.43
AHB-459        Reproductor DVD Portatil TV 7                                   3         685.50
