IIM5175,Diamantes y pedernales,Jose Maria Arguedas,2,30.23
YDK7687,El otonio del patriarca,Gabriel Garcia Marquez,60,82.02
ZOY6470,El viejo y el mar,Hernest Hemingway,25,68.01
ETZ8565,Confesiones de una mascara,Yukio Mishima,27,175.68
LQL0880,Contra el fascismo,Umberto Eco,34,71.63
VFZ9435,El olor de la Edad Media,Javier Traite,49,96.28
SFZ1256,La Iliada,Homero,34,154.35
EDQ0577,Las aventuras de Pinocho,Carlo Collodi,27,31.54
YJI3961,Cien anios de soledad,Gabriel Garcia Marquez,45,99.35
VPN5351,El Amante,Ana Maria Moix,27,182.76
PVS2464,Sapiens,Yuval Noah Harari,18,148.82
DVL7760,Falco,Arturo Perez-Reverte,57,98.18
QRH6838,Las cronicas de Narnia,C. S. Lewis,43,162.37
LDL2628,Harry Potter y el caliz de fuego (Harry Potter 4),J.K. Rowling,3,140.97
SBU9053,Tierra arrasada,Alfredo Gonzalez Ruibal,34,53.71
ZJM1292,El suenio del celta,Mario Vargas Llosa,52,66.03
CRA4157,El forastero misterioso,Mark Twain,39,234.14
RII8346,Las dos Dianas,Alejandro Dumas,23,69.63
JBR9372,El maestro de esgrima,Arturo Perez-Reverte,60,1.94
NEO9165,Emperador de Roma,Mary Beard,65,234.34
TBZ2657,Olalla,Robert Louis Stevenson,5,42.95
IBP7411,Nunca,Ken Follett,40,68.15
GPH1575,La gran aventura de los griegos,Javier Negrete,3,11.18
XIU2628,Cabo Trafalgar,Arturo Perez-Reverte,21,34.25
DDT0017,Viaje al fin de la noche,Louis Ferdinand Celine,38,125.28
ILG7766,Iliada,Homero,7,296.63
HGQ0131,Odisea,Homero,22,62.13
HLB4548,Frankenstein o el moderno Prometeo,Mary W. Shelley,18,118.29
SQB7146,Cronica de una muerte anunciada,Gabriel Garcia Marquez,31,83.99
VHK9148,Historia y cronologia del mundo,Isaac Asimov,63,14.07
MVU0233,La conspiracioni,Dan Brown,60,192.02
KWL0415,1923,Roberto Villa Garcia,24,78.57
WPU8819,Tristam Shandy,Laurence Sterne,47,59.08
JTX5687,Veinte mil leguas de viaje submarino,Julio Verne,29,72.66
HCT8192,Diario,Ana FranK,63,99.10
OMN0252,Los hermanos Karamazov,Fiodor Dostoyevski,42,241.73
CKC4095,El Gran Gatsby,F. Scott Fitzgerald,26,32.40
JLQ6546,El retorno del Rey,J.R.R.Tolkien,37,48.76
MSW8176,Todo se desmorona,Chinua Achebe,23,37.03
TDY0497,La chica del tren,Paula Hawkins,40,62.79
NBL8415,Espania con honra,Daniel Aquillue,50,252.00
IMC3155,Los pilares de la tierra,Ken Follett,35,182.44
FWK6327,El doble,Fiodor Dostoyevski,24,109.19
GQC1814,Apocalipticos e integrados,Umberto Eco,26,1.08
PRD1648,Relato de un naufrago,Gabriel Garcia Marquez,10,71.86
SBF7018,El handicap de la vida,Rudyard Kipling,2,71.69
LVP3355,Las aventuras de Sherlock Holmes,Arthur Conan Doyle,35,50.40
FBO8724,El pendulo de Foucault,Umberto Eco,64,104.07
WCZ0845,El cementerio de Praga,Umberto Eco,5,154.00
WOF6634,El problema final,Arturo Perez-Reverte,64,174.46
CUV7849,Ficciones,Jorge Luis Borges,50,255.52
VMW6915,Travesuras de la ninia mala,Mario Vargas Llosa,12,292.26
MBQ9495,Tormenta de espadas,George R.R.Martin,27,202.58
LQA8555,Rimas y leyendas,Gustavo Adolfo Becquer,14,248.74
IMK4892,La tabla de Flandes,Arturo Perez-Reverte,21,272.34
QCA9584,Dr. Jekyll y Mr. Hyde,Robert Louis Stevenson,27,168.95
XJT3661,Las aventuras de Tom Sawye,Mark Twain,65,36.07
THT4126,Harry Potter y las reliquias de la muerte (Harry Potter 7),J. K. Rowling,15,195.13
PZP7176,La caida de los gigantes,Ken Follett,28,15.93
