xQcOW,8/1/2022,13/8/2025,6196161750,27716,3246298,QA1080
summit1g,25/12/2021,25/8/2025,6091677300,25610,5310163,MK1092
Gaules,13/6/2023,14/8/2025,5644590915,10976,1767635,CY1025
ESL_CSGO,16/12/2023,27/8/2025,3970318140,7714,3944850,DQ1021
Tfue,24/6/2023,18/8/2025,3671000070,29602,8938903,DT1007
Asmongold,28/5/2023,14/8/2025,3668799075,42414,1563438,RK1027
NICKMERCS,3/2/2022,18/8/2025,3360675195,24181,4074287,RQ1028
Fextralife,7/8/2021,19/8/2025,3301867485,18985,508816,EW1042
loltyler1,26/10/2023,18/8/2025,2928356940,22381,3530767,NN1055
Anomaly,28/9/2023,15/8/2025,2865429915,12377,2607076,CG1051
TimTheTatman,15/11/2022,21/8/2025,2834436990,25664,5265659,ZU1045
LIRIK,23/2/2021,14/8/2025,2832930285,21739,2666382,NN1055
riotgames,2/11/2022,25/8/2025,2674646715,20960,4487489,VD1067
Rubius,12/7/2021,16/8/2025,2588632635,42948,5751354,BC1084
auronplay,20/1/2021,23/8/2025,2410022550,53986,3983847,BK1048
MontanaBlack88,25/1/2023,23/8/2025,2408460990,33514,2911316,LH1004
sodapoppin,13/12/2022,23/8/2025,2329440420,19659,2786162,PA1054
hanryang1125,6/8/2021,17/8/2025,2186662470,12201,494445,TP1087
alanzoka,20/10/2023,27/8/2025,2055003870,19560,3445134,MJ1009
CohhCarnage,2/9/2021,27/8/2025,2029212570,11343,1264808,EB1075
Lord_Kebun,17/11/2023,26/8/2025,1943299035,12367,434200,BY1022
LCK_Korea,3/4/2023,25/8/2025,1916365860,39848,619382,NA1098
Castro_1021,6/1/2022,27/8/2025,1845157080,17779,2411995,RN1030
DrDisrespect,11/1/2022,13/8/2025,1839882465,23794,4450718,RK1027
TheRealKnossi,7/5/2022,17/8/2025,1811696100,24595,1260160,AK1034
TheGrefg,7/3/2021,23/8/2025,1757406750,28887,3795667,KB1047
YoDa,9/7/2023,20/8/2025,1690237110,12868,1792625,QR1018
Pestily,23/2/2022,18/8/2025,1659741015,8481,616168,RN1030
handongsuk,13/3/2023,23/8/2025,1621667925,12869,385250,KK1093
GamesDoneQuick,23/1/2023,26/8/2025,1619144100,6734,1724316,IC1059
Solary,12/6/2021,22/8/2025,1546597380,3187,493207,II1076
Gotaga,9/11/2022,16/8/2025,1538511315,10750,2401580,EW1042
MOONMOON,26/8/2021,13/8/2025,1527882945,11220,923448,UE1057
DrLupo,8/2/2023,16/8/2025,1517612010,8311,4115083,TZ1002
OgamingLoL,8/4/2023,26/8/2025,1483207890,3020,523758,KF1077
Myth,7/8/2023,18/8/2025,1479214575,9396,6726893,WC1010
Evelone192,2/1/2021,24/8/2025,1474742220,16422,1075101,BA1060
nl_Kripp,13/7/2021,22/8/2025,1470897720,9256,1379123,SJ1094
LEC,4/12/2023,19/8/2025,1470431925,28830,973727,LH1004
dota2mc_ru,16/4/2021,25/8/2025,1464683175,19495,428284,WC1010
Fresh,21/9/2023,18/8/2025,1464179820,9728,3135667,TP1087
LCS,18/3/2023,14/8/2025,1461310140,46459,1162746,XG1006
ROSHTEIN,14/11/2022,14/8/2025,1435735725,11717,381918,RO1019
ibai,1/3/2022,18/8/2025,1412913285,22837,1894953,HW1033
TFBlade,9/11/2021,20/8/2025,1394312895,9117,1008040,UM1000
Sardoche,11/6/2022,13/8/2025,1361024835,8066,746865,KO1014
LCK,16/7/2021,16/8/2025,1351758525,36030,934688,MI1015
Yassuo,28/7/2023,17/8/2025,1347412425,10531,1878416,NS1035
HasanAbi,23/8/2022,15/8/2025,1339344945,6543,470123,KF1077
BeyondTheSummit,24/5/2022,17/8/2025,1339097490,2635,923689,ZG1043
Dota2RuHub,28/5/2023,25/8/2025,1330625430,13189,777510,VG1046
Bugha,19/1/2022,14/8/2025,1324519320,12982,2942212,NU1040
RocketLeague,4/1/2022,14/8/2025,1322448480,36086,1409120,VO1090
csgomc_ru,24/6/2021,23/8/2025,1308967860,17020,492954,VD1067
Clix,7/10/2021,13/8/2025,1256647110,12996,2035180,PC1086
Gorgc,26/7/2023,14/8/2025,1252711830,8683,391726,NN1099
saddummy,27/9/2023,20/8/2025,1241997345,6681,580794,VX1069
NoWay4u_Sir,2/3/2023,20/8/2025,1234567245,8479,383892,CW1089
RiotGamesBrazil,10/11/2023,20/8/2025,1228613130,25918,1011924,SJ1094
JLTomy,11/11/2021,20/8/2025,1228169940,10053,428073,PK1026
SolaryFortnite,26/12/2023,15/8/2025,1223349555,3180,1478270,QT1017
ONSCREEN,19/3/2023,20/8/2025,1197130335,4134,918654,QC1012
AdmiralBahroo,8/5/2021,15/8/2025,1188645990,8152,778055,BQ1023
Quin69,17/7/2021,17/8/2025,1186941750,6616,538532,PK1026
Trymacs,27/9/2022,26/8/2025,1184154975,10735,1607134,RD1020
dasMEHDI,25/7/2023,16/8/2025,1172969025,5013,299048,XC1072
sneakylol,19/7/2022,23/8/2025,1149209820,6775,1659108,MJ1009
NickEh30,28/7/2023,22/8/2025,1148114400,9702,1660204,OR1066
fps_shaka,20/10/2022,15/8/2025,1131509385,5195,303671,CG1051
LVPes,19/7/2023,27/8/2025,1115650275,12947,587677,AZ1074
Vader,25/11/2021,22/8/2025,1110952500,5913,424374,BQ1071
forsen,24/1/2023,16/8/2025,1106781045,10080,1308165,RK1027
Papaplatte,24/10/2023,13/8/2025,1105525440,8546,919026,RQ1028
StarLadder_cs_en,17/2/2023,13/8/2025,1088832810,29956,820675,XC1072
Symfuhny,1/3/2023,17/8/2025,1076179485,7327,2355063,KO1014
DreamHackCS,23/1/2021,26/8/2025,1052904720,5001,1801697,RQ1028
Mizkif,18/4/2023,13/8/2025,1052047935,7899,591653,AN1082
Rainbow6,20/2/2023,25/8/2025,1031011170,11535,1501197,KS1031
stylishnoob4,2/5/2023,22/8/2025,1029543660,8485,354579,RK1027
Maximilian_DOOD,10/1/2023,15/8/2025,1023316710,9235,833047,NU1040
Trainwreckstv,1/6/2022,23/8/2025,1021699920,7134,728097,NO1070
dota2ti,9/4/2023,25/8/2025,1017577605,147643,663297,DT1007
GRONKH,23/11/2023,14/8/2025,1017544335,17860,1216020,KF1077
SypherPK,13/1/2022,22/8/2025,1016450160,6553,3611359,RK1027
ZeratoR,9/6/2023,20/8/2025,1011013035,10516,880728,LD1032
SilverName,9/5/2022,24/8/2025,1006608690,10618,614395,NL1008
