xQcOW,6196161750,27716,3246298,QA1080
summit1g,6091677300,25610,5310163,MK1092
Gaules,5644590915,10976,1767635,CY1025
ESL_CSGO,3970318140,7714,3944850,DQ1021
Tfue,3671000070,29602,8938903,DT1007
Asmongold,3668799075,42414,1563438,RK1027
NICKMERCS,3360675195,24181,4074287,RQ1028
Fextralife,3301867485,18985,508816,EW1042
loltyler1,2928356940,22381,3530767,NN1055
Anomaly,2865429915,12377,2607076,CG1051
TimTheTatman,2834436990,25664,5265659,ZU1045
LIRIK,2832930285,21739,2666382,NN1055
riotgames,2674646715,20960,4487489,VD1067
Rubius,2588632635,42948,5751354,BC1084
auronplay,2410022550,53986,3983847,BK1048
MontanaBlack88,2408460990,33514,2911316,LH1004
sodapoppin,2329440420,19659,2786162,PA1054
hanryang1125,2186662470,12201,494445,TP1087
alanzoka,2055003870,19560,3445134,MJ1009
CohhCarnage,2029212570,11343,1264808,EB1075
Lord_Kebun,1943299035,12367,434200,BY1022
LCK_Korea,1916365860,39848,619382,NA1098
Castro_1021,1845157080,17779,2411995,RN1030
DrDisrespect,1839882465,23794,4450718,RK1027
TheRealKnossi,1811696100,24595,1260160,AK1034
TheGrefg,1757406750,28887,3795667,KB1047
YoDa,1690237110,12868,1792625,QR1018
Pestily,1659741015,8481,616168,RN1030
handongsuk,1621667925,12869,385250,KK1093
GamesDoneQuick,1619144100,6734,1724316,IC1059
Solary,1546597380,3187,493207,II1076
Gotaga,1538511315,10750,2401580,EW1042
MOONMOON,1527882945,11220,923448,UE1057
DrLupo,1517612010,8311,4115083,TZ1002
OgamingLoL,1483207890,3020,523758,KF1077
Myth,1479214575,9396,6726893,WC1010
Evelone192,1474742220,16422,1075101,BA1060
nl_Kripp,1470897720,9256,1379123,SJ1094
LEC,1470431925,28830,973727,LH1004
dota2mc_ru,1464683175,19495,428284,WC1010
Fresh,1464179820,9728,3135667,TP1087
LCS,1461310140,46459,1162746,XG1006
ROSHTEIN,1435735725,11717,381918,RO1019
ibai,1412913285,22837,1894953,HW1033
TFBlade,1394312895,9117,1008040,UM1000
Sardoche,1361024835,8066,746865,KO1014
LCK,1351758525,36030,934688,MI1015
Yassuo,1347412425,10531,1878416,NS1035
HasanAbi,1339344945,6543,470123,KF1077
BeyondTheSummit,1339097490,2635,923689,ZG1043
Dota2RuHub,1330625430,13189,777510,VG1046
Bugha,1324519320,12982,2942212,NU1040
RocketLeague,1322448480,36086,1409120,VO1090
csgomc_ru,1308967860,17020,492954,VD1067
Clix,1256647110,12996,2035180,PC1086
Gorgc,1252711830,8683,391726,NN1099
saddummy,1241997345,6681,580794,VX1069
