xQcOW,3246298,QA1080,EZX161
summit1g,5310163,MK1092,HTR108-UPK123-SWT139-LWC105
Gaules,1767635,CY1025,KRH188-BBY119
ESL_CSGO,3944850,DQ1021,UFK146-CUV131-EHZ179
Tfue,8938903,DT1007,HTR108-AUP136-LCI182
Asmongold,1563438,RK1027,BJU120-BYR152-VIB141
NICKMERCS,4074287,RQ1028,XOW164-KRH188-UAA197-PZG173
Fextralife,508816,EW1042,PMW117-IKJ168-TTQ129
loltyler1,3530767,NN1055,
Anomaly,2607076,CG1051,PMW117-LJW189-ABY186-RFQ147
TimTheTatman,5265659,ZU1045,
LIRIK,2666382,NN1055,AZL133
riotgames,4487489,VD1067,
Rubius,5751354,BC1084,
auronplay,3983847,BK1048,BDH190
MontanaBlack88,2911316,LH1004,HFO149
sodapoppin,2786162,PA1054,GGS114-AZL133
hanryang1125,494445,TP1087,KXS144-SWT139
alanzoka,3445134,MJ1009,LCI182-JDO132
CohhCarnage,1264808,EB1075,RSR181
Lord_Kebun,434200,BY1022,OWQ126-ZKM134
LCK_Korea,619382,NA1098,VIB141-ZZQ180-HVP148-YCY140
Castro_1021,2411995,RN1030,KRH188-WDI191-VHS107-NOV103
DrDisrespect,4450718,RK1027,XUM137-HMK109-HEP135-OWQ126
TheRealKnossi,1260160,AK1034,FAE158-ZZQ180
TheGrefg,3795667,KB1047,LJW189-HJF113-RLU104-PMW117
YoDa,1792625,QR1018,PZG173-DIM143-YCY140-ISJ127
Pestily,616168,RN1030,
handongsuk,385250,KK1093,
GamesDoneQuick,1724316,IC1059,HFO149-BOC177-HTR108-XEB122
Solary,493207,II1076,NBF150
Gotaga,2401580,EW1042,ZPK187
MOONMOON,923448,UE1057,VIN110-VHS107
DrLupo,4115083,TZ1002,OWQ126
OgamingLoL,523758,KF1077,
Myth,6726893,WC1010,DIM143-ABY186
Evelone192,1075101,BA1060,XDR142-ZZQ180
nl_Kripp,1379123,SJ1094,
LEC,973727,LH1004,UPK123-ZPK187
dota2mc_ru,428284,WC1010,
Fresh,3135667,TP1087,GCS151-BDH190-OQK199
LCS,1162746,XG1006,HVP148-FJF159-XUM137
ROSHTEIN,381918,RO1019,KUD124-MWP106-UYB174
ibai,1894953,HW1033,BGA171-LIX198
TFBlade,1008040,UM1000,ABY186-FIQ167
Sardoche,746865,KO1014,
LCK,934688,MI1015,UYB174-DQN116-HMK109-JUO176
Yassuo,1878416,NS1035,HTR108-ZXP183-LWC105-GKP193
HasanAbi,470123,KF1077,FIQ167
BeyondTheSummit,923689,ZG1043,HHR156-PMW117-AAM100-GZN112
Dota2RuHub,777510,VG1046,
Bugha,2942212,NU1040,RSR181
RocketLeague,1409120,VO1090,
csgomc_ru,492954,VD1067,HWP145-YUQ166
Clix,2035180,PC1086,
Gorgc,391726,NN1099,XUM137-TFK195
saddummy,580794,VX1069,FAE158
NoWay4u_Sir,383892,CW1089,UAA197
RiotGamesBrazil,1011924,SJ1094,RFQ147-BKY101-VVW175-JQJ162
JLTomy,428073,PK1026,
SolaryFortnite,1478270,QT1017,YUP121-DOL102-XOW164
ONSCREEN,918654,QC1012,SOQ157-EHZ179-KUD124
AdmiralBahroo,778055,BQ1023,BZQ165-DOL102-OQK199-GZN112
Quin69,538532,PK1026,UYB174-HFO149-UAA197-ZXP183
Trymacs,1607134,RD1020,HPT153-HEP135-RSR181
dasMEHDI,299048,XC1072,KXS144-TFK195-SOQ157-VIN110
sneakylol,1659108,MJ1009,ZXP183-AUP136-JYS169-UPK123
NickEh30,1660204,OR1066,GCS151-BBY119-QHJ155-ZKM134
fps_shaka,303671,CG1051,BPK178-DQN116
LVPes,587677,AZ1074,FIQ167-AEU118-INC128-CUV131
Vader,424374,BQ1071,WQM170
forsen,1308165,RK1027,HMK109-CUV131
Papaplatte,919026,RQ1028,VQV154-JUO176
StarLadder_cs_en,820675,XC1072,FAE158-GCS151-HWP145
Symfuhny,2355063,KO1014,UZM160
DreamHackCS,1801697,RQ1028,YUP121-FJF159-JDO132-HPT153
Mizkif,591653,AN1082,AZL133-DIM143
Rainbow6,1501197,KS1031,OWQ126-PMW117-GCS151
stylishnoob4,354579,RK1027,VHS107-PMW117-IKJ168-ISJ127
Maximilian_DOOD,833047,NU1040,HVP148-PZG173-LTE194
Trainwreckstv,728097,NO1070,UFK146-BJU120-EHZ179-TTQ129
dota2ti,663297,DT1007,KRH188-INC128-GKP193-BJU120
GRONKH,1216020,KF1077,
SypherPK,3611359,RK1027,
ZeratoR,880728,LD1032,HMK109
SilverName,614395,NL1008,NOV103
Sacriel,672403,LJ1024,
dakotaz,4520305,SJ1094,
Stray228,773712,NO1070,BPK178-VHS107-VIB141-YUQ166
AdmiralBulldog,694253,VO1090,JQJ162
pokimane,5367605,KI1011,GGS114-ZKM134-UYB174
lestream,883706,DT1007,BDH190
ybicanoooobov,523512,RD1020,PUH184-XDR142
Method,401400,QU1003,BKY101-HFO149-COI138
Nightblue3,2641880,CW1089,NOV103-LTE194-INC128
EsfandTV,471970,OR1066,PVV130-KXS144-QHJ155-FIQ167
shroud,7744066,DT1007,BDH190-OQK199
NOBRU,1549722,RD1020,DQN116-BPK178-RFQ147
buster,1087377,FE1044,
Scarra,1242014,LB1029,RSR181-XEB122-LCI182-WQM170
Baiano,425797,AZ1074,VQV154-UYB174-LWC105-SOQ157
tmxk319,427926,RL1050,
WePlayEsport_RU,346934,NO1070,VVW175
elded,2601858,VG1046,
LPL,502467,IC1059,BGA171-RLU104-OWQ126
juansguarnizo,1204773,NN1099,HWP145-PMW117-DQN116-BGA171
Rakin,1258173,RL1050,VQV154-LCI182-FAE158
SolaryHS,149073,PK1026,
Cellbit,1293451,IC1059,AAM100
dota2ti_ru,541644,NO1070,LWC105-LIX198-NNE115-OWQ126
uzra,185506,MD1058,
OverwatchLeague,1796619,IR1081,
Thijs,755116,OR1066,LWC105-HHR156
Swagg,784966,VD1067,RFQ147
TeePee,520519,TP1087,EHZ179-UYB174
LVNDMARK,248829,WT1016,SOQ157-BGA171-JDO132
Agraelus,414951,BC1084,BZQ165
BLASTPremier,501371,NN1099,ZXP183-NBF150
cloakzy,2138294,MK1092,VIB141-SWT139-RSR181
aceu,859439,HV1056,FAE158-UFK146
shuteye_orange,85247,XG1006,UAA197-HTR108-INC128-XDR142
Elraenn,1223076,UW1039,BZQ165-NNE115-YUP121
Elajjaz,346566,OA1052,KUD124-LCI182-FAE158-SOQ157
CDNThe3rd,2009972,AG1091,EZX161-UOU172-XDR142-INC128
POW3Rtv,1080764,NO1070,UYB174-YKM163-XOW164-MCY111
IzakOOO,1461767,VG1046,BGA171
DreadzTV,675908,HV1056,ZPK187-YCY140-GGS114
ddahyoni,322895,VX1069,GGS114
WePlayEsport_EN,175061,LO1049,
ElmiilloR,426716,CW1089,
Squeezie,2149306,AN1079,SOQ157
allkeyshop_tv,67472,XC1072,
Domingo,829700,AE1038,UYB174-HWP145
PlayHearthstone,825727,BK1048,BGA171
ESL_DOTA2,337177,RO1019,GZN112-YKM163
Kitboga,772055,LH1004,COI138-WQM170-VVW175
DansGaming,817365,TB1073,VIN110
mobilmobil,446426,OA1052,HDQ185-KXS144-NBF150
Destiny,571183,AN1079,XEB122-YKM163-UZM160-TTQ129
woowakgood,591500,MD1058,ISJ127-IKK125-GZN112-FAE158
RATIRL,423002,TZ1002,BYR152
bratishkinoff,1128907,PA1054,EZX161-COI138-UAA197
Yogscast,961860,DN1001,HJF113-KXS144
lol_ambition,362297,NS1035,FAE158-AUP136-YCY140-JYS169
jukes,1327059,BC1084,
muse_tw,121053,KK1093,WQM170-GKP193-VQV154
Shlorox,331632,DU1053,
coscu,1865296,DQ1021,VIB141-BKY101
dogdog,594239,BA1060,FAE158
chocoTaco,1134153,DN1001,MCY111
Locklear,824676,DT1007,SWT139-AZL133-DOL102
blusewilly_retry,374480,BC1084,IKK125-BBY119-NOV103
Amouranth,1707804,XL1061,NNE115-HVP148-ISJ127-PMW117
UberHaxorNova,421256,KF1077,VIB141-UZM160-HHR156
Sfory,457502,AK1034,RLU104-JYS169
Giantwaffle,878934,GW1036,AEU118
ZanoXVII,514866,KO1014,XUM137-RSR181-DIM143
zilioner,465887,DA1063,
SkipNhOLIVE,324765,TB1073,LJW189-KXS144-DOL102-LIX198
Kamet0,565661,IC1059,TTQ129-IKK125-EZX161-JUO176
MYM_ALKAPONE,770535,HV1056,VIN110
jinu6734,274875,NU1040,
imaqtpie,2652018,VO1090,EZX161
x2Twins,1288969,TP1087,
C_a_k_e,302633,TB1073,RLU104
SmiteGame,535211,VB1096,UPK123-NOV103-VVW175
RatedEpicz,134757,UE1057,HWP145-HTR108
wtcN,1852272,KO1014,UFK146
Anton,207484,WT1016,MWP106-GZN112-AZL133
benjyfishy,1739112,BY1022,UOU172-HVP148
StarLadder5,1029203,NN1099,VIN110-HPT153-HWP145-HJF113
Reborn_Live,697007,CY1025,VIN110-TFK195-VHS107
CasinoDaddy,151098,AE1038,DIM143-WDI191-XUM137
H2P_Gucio,220488,ZU1045,MWP106-FAE158
Xayoo_,572789,BY1022,IKK125-IKJ168-ZPK187
Jinnytty,372334,BQ1023,
KendineMuzisyen,1372290,ZU1045,PMW117-FAE158-ZPK187
Jahrein,1422862,RN1030,FAE158-BYR152-XUM137-ZZQ180
Mathil1,293595,DU1053,COI138-WQM170-PVV130
Greekgodx,1278824,DU1053,
Brunenger,659652,HW1033,HEP135-INC128-NBF150-MCY111
ClassyBeef,108623,TB1073,BDH190
Diegosaurs,521201,CW1089,EHZ179
BobRoss,1519266,HV1056,HTR108-JYS169-VVW175-EZX161
Nick28T,977377,OZ1085,DIM143-YUP121
nokduro,165823,LO1049,AEU118-FIQ167
GMHikaru,505361,TZ1002,BJU120
SkipNhO,1076499,AN1079,XOW164-HPT153
jovirone,1089830,VS1083,OQK199
Chap,1272899,OA1052,VVW175-ZKM134
kimdoe,287639,DA1063,HEP135-GKP193-ISJ127
RebirthzTV,276694,EW1042,UPK123-NBF150
Klean,276242,HW1033,PVV130
godjj,331744,MI1015,LIX198
Gladd,337972,DU1053,
CSRuHub,511431,BY1022,BYR152-BJU120-BZQ165-LWC105
CriticalRole,571210,GW1036,NBF150-LCI182-HDQ185
Vinesauce,442493,ET1065,VIN110
lol_woolf,308528,KS1031,FAE158-VVW175-YUP121-XEB122
Mithrain,1258713,NL1008,
EWROON,514693,DQ1021,BZQ165-QHJ155-ABY186-ISJ127
ludwig,542580,YC1062,
RduLIVE,234884,DB1005,WDI191-DQN116-TTQ129
Hiko,1001350,ZU1045,PMW117-RFQ147-FZP192-VIN110
FENGRUSH,95643,BY1022,NNE115-UZM160
Chess,326118,OR1066,DQN116-CUV131
72hrs,1024814,KS1095,
TwitchRivals,999480,CW1089,
a541021,207369,LH1004,NOV103-DOL102
hashinshin,570621,CG1051,PZG173-MWP106-LIX198
JoshOG,1748928,RD1020,HHR156-BPK178-ZPK187
B0aty,516113,ZG1043,VVW175-WQM170-NNE115-VIB141
AustinShow,840624,OR1066,GGS114
39daph,505362,LJ1024,VIB141-GGS114-JUO176
scump,893010,ET1065,YCY140
flurry1989,169505,BA1060,AZL133
Kyle,182260,BK1048,
SummonersInnLive,503346,QA1080,VVW175-VIB141
Aydan,1701314,KF1077,AZL133-HVP148-UAA197
Faker,2716270,RD1020,
Mongraal,2951980,DA1063,NBF150-JDO132
2chamcham2,489270,XG1006,YUP121
EmadGG,702744,NL1008,XEB122-OQK199-XOW164-TFK195
pacific8815,171858,UM1000,BYR152-RLU104
FolagorLives,786983,BQ1023,VIN110-RFQ147-NBF150
lilypichu,1363222,VG1046,BGA171-ISJ127-YKM163
mistermv,479900,XG1006,HHR156-HPT153
Bonjwa,123954,UM1000,
KingGeorge,767727,NU1040,
KingRichard,1536757,YC1062,HPT153-BYR152-MCY111-DRY196
melharucos,328473,BA1060,VIB141-BJU120-PMW117-SWT139
INSCOPE21TV,658658,IC1059,
JohnPitterTV,286184,DU1053,EZX161
Zizaran,267004,ZG1043,GGS114
imls,392024,PC1086,
TSM_ImperialHal,302593,TM1088,HVP148
jdm2088,276488,AN1082,DIM143
Ramee,132642,HV1056,HTR108-BYR152
Towelliee,705098,NA1098,UZM160-ABY186
SPYGEA,222046,KI1011,KXS144
FollowGrubby,430649,CW1089,YUQ166-KXS144
Amar,604374,BY1022,BOC177-RFQ147-AEU118-ISJ127
mch_AGG,219431,VB1096,JQJ162-IKK125-TFK195-FAE158
IWillDominate,797244,NU1040,JUO176-GGS114
Nadeshot,1472104,UW1039,VHS107-AZL133-ABY186
buddha,247303,BQ1023,BBY119-XDR142
Deadlyslob,315637,QC1012,NNE115-IKK125-DIM143-LWC105
failverde,169973,MI1015,XUM137-WDI191-HPT153
zrush,180412,HV1056,CUV131-UFK146-HPT153-PVV130
HoneyMad,533250,OZ1085,GKP193-PZG173-VQV154
ESAMarathon,244440,CY1025,GZN112-VIB141-RFQ147
Nmplol,455444,ET1065,YUQ166
relaxing234,258402,LD1032,BGA171
Doigby,1068260,HV1056,
Sequisha,252495,CW1089,WDI191-LJW189
HusKerrs,361360,ET1065,
yapyap30,301033,QA1080,UAA197
Elwind,703464,IC1059,EHZ179-BJU120-JUO176
Shiphtur,709343,QC1012,KXS144
BarbarousKing,159402,MI1015,KUD124-VQV154-BKY101
alexelcapo,680023,NA1098,
moistcr1tikal,1166681,NS1035,JUO176-JQJ162-EHZ179
Rush,542991,QR1018,UAA197-BKY101-HFO149-FIQ167
LosPollosTV,476096,DB1005,DRY196-PZG173
DreamLeague,349054,KB1047,
Voyboy,1251182,KO1014,RSR181-HDQ185-HTR108
BastiGHG,507730,GW1036,UOU172-AZL133-BDH190-WQM170
DatModz,270720,LD1032,ZZQ180-AZL133-UZM160-IKK125
dafran,599036,ZU1045,YCY140-BGA171-KUD124-IKK125
yeTz,849972,TM1088,RSR181
Aurateur,142427,UW1039,HMK109-PMW117-WQM170-CUV131
pokelawls,668807,AG1091,
ziGueira,529814,BK1048,
A_Seagull,1028544,KF1077,HTR108-PVV130-XUM137-HPT153
koil,299033,BQ1071,RLU104-JQJ162
PAGO3,425072,NA1098,
Llobeti4,648084,SJ1094,COI138-UAA197
xargon0731,283232,QA1080,UAA197-BJU120-MWP106
itsHafu,787371,QU1003,VVW175-NOV103-BKY101
shongxbong,845158,BQ1071,BOC177-GZN112-HFO149-YCY140
StaysafeTV,149648,AK1034,WQM170-PUH184-LJW189
Loeya,1233300,KB1047,
RiotGamesJP,141684,ZG1043,AZL133-YUP121-LJW189
btssmash,216558,FE1044,ISJ127-HDQ185-NNE115-LIX198
PietSmiet,576903,KB1047,
Payo,175503,IC1059,KUD124-FAE158
Shotz,159763,QA1080,
silphtv,309065,ZU1045,
m0xyy,461534,TZ1002,HVP148
LexVeldhuis,244467,RL1050,ZXP183-PMW117
NateHill,1055613,VS1083,IKK125-YUQ166
Shaunz,148568,DB1005,ISJ127-FAE158
Emongg,504653,UM1000,LIX198
fl0m,658323,WT1016,HVP148
AsmodaiTV,247056,VO1090,FIQ167-RSR181-PVV130-HTR108
Homyatol,375749,BQ1023,EHZ179-LIX198-HVP148-TTQ129
Grimmmz,1001739,HW1033,EHZ179-WDI191-ZPK187
aXtLOL,763886,LB1029,BDH190-PMW117
boyMinORu,367223,PY1041,LCI182-LTE194-AUP136-JDO132
just_ns,341549,LN1013,OWQ126-ZKM134-RSR181-UZM160
BurkeBlack,276421,CY1025,
Trick2g,1476226,AN1082,
FORMAL,512592,MD1058,LCI182-HHR156-XDR142-VHS107
Fortnite,3558217,XC1072,HEP135
Magic,365714,AE1038,FIQ167
Xari,269447,OA1052,XUM137
RocketBeansTV,416018,VB1096,
ANGRYPUG,366463,XC1072,YKM163
MarcaoRX,166594,QU1003,KRH188-XUM137-AZL133
yamatonjp,179920,OR1066,ZZQ180-HTR108-BDH190
btscsgo,219539,MJ1009,NNE115
Skyyart,598579,DQ1021,UYB174-DQN116
gratis150ml,741652,QT1017,EZX161-IKK125-EHZ179-ZZQ180
ShivFPS,236407,DB1005,AUP136-SWT139
Ponce,242969,TZ1002,NNE115-OWQ126-XUM137
Distortion2,314170,MI1015,ZPK187-VVW175-INC128
boxbox,1717150,KS1031,FIQ167-GZN112
rkdwl12,507418,NA1098,BYR152-ZXP183
TheKAIRI78,885915,MJ1009,TFK195-BPK178-OQK199-GKP193
RiotGamesRU,173861,DT1007,HPT153-LIX198-ZXP183
FPSThailand,390579,LB1029,CUV131-PMW117-KUD124-GZN112
naseongkim,103260,YC1062,HDQ185
obm1025,428179,LO1049,BDH190-GCS151-INC128
singsing,572005,AE1038,GZN112-COI138-HWP145-XUM137
BlackUFA,279922,LD1032,DOL102
QuattroAce,157620,BC1084,
bateson87,598678,ET1065,PVV130
Staiy,259624,AN1082,
polsatgames,141026,KS1095,INC128-ISJ127
NymN,241746,CV1064,IKK125
orangemorange,261139,KF1077,IKK125
MinosTV_,204605,AG1091,GCS151-JDO132-DQN116
NairoMK,339545,DQ1021,
109ace,166726,MJ1009,XDR142-IKJ168-OWQ126
UnknownxArmy,850944,DB1005,DIM143-ABY186
s1mple,1681884,KS1031,RFQ147-BGA171-BKY101-GZN112
bysTaXx,1093212,DQ1021,VQV154-BGA171-UZM160-DIM143
Sjow,240206,KI1011,HFO149-SOQ157-DIM143
hardgamechannel,786562,CV1064,DRY196-VIN110-EZX161-EHZ179
scoped,731808,NA1098,TTQ129-IKJ168-LIX198
VooDooSh,85678,CV1064,FJF159-XEB122-HTR108-YCY140
WELOVEGAMES,413458,KB1047,ZZQ180
StereOnline,327645,NO1070,HTR108-UPK123-ZPK187
keanelol,162917,OR1066,
sal_gu,164092,LJ1024,
sips_,430755,LH1004,HHR156
ESL_CSGOb,575769,EW1042,HPT153-JDO132-HVP148
kyo1984123,135687,BC1084,FZP192
midbeast,330060,KI1011,NOV103-DIM143-KXS144-INC128
Alexby11,1448018,II1076,BJU120
Tumblurr,353687,WT1016,JQJ162-SOQ157-KXS144
Veritas,182492,RO1019,EHZ179-GGS114-XEB122-VIN110
daltoosh,241602,RO1019,HMK109-UPK123-CUV131
ELoTRiX,895851,OR1066,HWP145-BGA171-JQJ162-ABY186
TSM_Viss,762778,DB1005,HWP145-DRY196-XDR142-DOL102
Anthony_Kongphan,462128,AZ1074,HDQ185-COI138-TTQ129-UFK146
modestal,323364,BY1022,
yumyumyu77,309322,RK1027,
XEWER,455056,XG1006,GGS114
blxckoutz,482061,KB1047,ISJ127-XOW164-OWQ126-LJW189
EASPORTSFIFA,1287954,TP1087,
ALOHADANCETV,555334,EB1075,HVP148-BZQ165-UYB174
rudbeckia7,212053,AN1082,
Flashpoint,93616,DB1005,DRY196-JYS169
Steelmage,60987,DN1001,RSR181
RoyalPhunk,204451,NA1098,IKK125-PUH184
Overpow,254516,NN1099,AEU118-LJW189-ISJ127
NeVeR_LosEs,200953,OZ1085,YCY140-MWP106-ZXP183
AvoidingThePuddle,336181,PA1054,BYR152-ABY186-KRH188
Ko0416,108784,LH1004,ZKM134-RFQ147
Dota2ruhub2,248277,WT1016,IKK125-EHZ179-RLU104-XEB122
Slushpuppy,122486,UW1039,
itmeJP,369273,CY1025,HMK109-JDO132-TFK195-JUO176
JesusAVGN,682899,VX1069,BYR152-LIX198-GZN112-AEU118
tarzaned,388878,MD1058,
Mickalow,864324,YC1062,ZPK187
UNLOSTV,1585519,AE1038,PMW117-AEU118
resttpowered,252184,IR1081,
Felps,844681,IR1081,BDH190
Doublelift,1389835,TM1088,
kss7749,170718,ET1065,
Kiwo,296481,VB1096,
adolfz,294217,WC1010,BKY101-MWP106-WQM170-ISJ127
LigaPro1,30986,NA1098,
knekro,260728,KF1077,TTQ129-QHJ155-TFK195-VHS107
Savjz,542892,YC1062,DQN116-CUV131
BobbyPoffGaming,125803,IC1059,RFQ147
The_Happy_Hob,216106,KS1095,MCY111-TTQ129
Smurfdomuca,267948,DN1001,DOL102-JYS169-BJU120
Timmac,393639,II1076,HWP145
Nikolarn,526389,AG1091,FJF159-IKK125
so_urf,95477,BQ1071,TFK195-DOL102-QHJ155
RiffTrax,79099,RL1050,GCS151-HPT153
pimpimenta,828298,LH1004,OWQ126-XEB122-HMK109-AEU118
faceittv,1681615,AK1034,BOC177-RSR181
crokeyz,68907,KB1047,EHZ179-LJW189-CUV131-ZXP183
Letshe,884661,CW1089,NBF150-AUP136-ZXP183-CUV131
SaltyBet,224099,IC1059,FIQ167-EHZ179-JUO176
sonycast_,255949,EW1042,VVW175
HGmony,34358,BK1048,YUP121-XUM137-TFK195
jakenbakeLIVE,489623,EB1075,MCY111
Syndicate,3000509,ZG1043,
RakanooLive,1234662,BC1084,
rhdgurwns,289455,BQ1071,AAM100
limit_maximum,162040,CG1051,
ElRichMC,688715,RN1030,XEB122-SOQ157
guit88man,144898,NZ1037,DOL102
RaizQT,167584,WT1016,HVP148
ReventXz,362062,NN1099,LIX198-AZL133-UAA197
PatoPapao,656860,VX1069,EHZ179
Replays,871405,BK1048,HHR156-QHJ155-VIB141
cdewx,380159,KF1077,YKM163-WDI191-ZXP183
asiagodtonegg3be0,494643,PA1054,FAE158-HFO149
BotezLive,330772,NL1008,
Conterstine,386804,BQ1023,DOL102-TFK195
BeyondTheSummit_PT,203549,DA1063,FJF159
AlphaCast,411993,DT1007,LTE194-HDQ185-VIB141-FIQ167
DownToQuest,82299,NU1040,
jungtaejune,124835,PC1086,AAM100-JYS169
PENTA,152821,LO1049,ABY186
thedarkness,536792,QR1018,DRY196
uhSnow,134611,UE1057,RLU104-GGS114
JERICHO,1191987,VD1097,GGS114
T90Official,160226,QU1003,UZM160-HMK109-WQM170
DanucD,546052,QA1080,VVW175-LCI182-AUP136
DisguisedToast,1340283,MD1058,HMK109-ISJ127-BOC177
DesertHeartsRecords,85097,QC1012,GGS114-PUH184-UPK123
Jankos,573657,PK1026,VIB141-TFK195
GarenaTW,401222,RQ1028,VQV154
dogswellfish,215413,MJ1009,FIQ167-PUH184-KUD124
Sykkuno,334591,ZU1045,VHS107-JDO132-DIM143-OWQ126
JokerdTV,159384,ET1065,BOC177-JUO176-JQJ162-RSR181
A1taOda,537519,CG1051,PUH184-XEB122-UOU172-MWP106
livekiss,31323,CG1051,FZP192
Jerma985,334594,NZ1037,UZM160
KamoLRF,688868,AN1079,FIQ167
GoldGlove,1433703,VS1083,
harbleu,349467,VX1069,PZG173-LWC105
runthefutmarket,292812,AG1091,HFO149-GCS151
alenenwooptv,125615,ET1065,TTQ129-EHZ179
KarmikKoala,151920,NL1008,YUP121
JustCooman,159117,NL1008,FIQ167-DQN116-HFO149
IamCristinini,398634,KO1014,DRY196-PMW117
Xop0,94751,AF1078,KXS144-HMK109-MCY111
Warframe,1254031,BK1048,BOC177-GGS114-BPK178
Smoke,166007,HW1033,PVV130-HDQ185-VIB141-VIN110
Moondye7,306920,NU1040,XEB122-WDI191
jean_mago,342691,QT1017,
mL7support,342850,DQ1021,
KriszhAdvice,284899,ET1065,NNE115-ZZQ180-RSR181-BOC177
QuickyBaby,416329,BK1048,RSR181-LCI182-HHR156
aDrive,461081,BQ1071,AZL133-ZXP183
Ampeterby7,1194476,NO1070,
KabajiOW,369667,QR1018,CUV131-OQK199-EZX161-UZM160
SNEUX,196635,ZT1068,VIN110
TrU3Ta1ent,595939,IR1081,XOW164
OgamingSC2,105368,NS1035,BDH190-YCY140-LWC105-PVV130
ajehr,362794,KF1077,UZM160
cyr,182107,ZG1043,OWQ126-HPT153
MrSavage,1651212,UM1000,HWP145
Perxitaa,689582,AZ1074,HEP135-ZXP183-HPT153
IlloJuan,275174,AF1078,ZKM134
masondota2,104526,BK1048,VQV154-XOW164
Annoying,431285,XL1061,GZN112-FZP192
kumikomii,177741,KS1031,HJF113
Manyrin,449520,RQ1028,
1DrakoNz,373375,DT1007,ISJ127
Pace22,171871,BK1048,
Rammus53,978645,WT1016,UFK146-INC128-XUM137-ABY186
SaltyTeemo,173196,MI1015,BPK178-SWT139-VHS107
Odablock,131966,UE1057,
MckyTV,722041,BQ1023,JDO132-VQV154-HWP145
Calebhart42,177595,TZ1002,
MacieJay,835787,WC1010,VIB141-UYB174-GZN112-UAA197
R6esportsBR,323856,MD1058,
chistor_,89608,DN1001,LIX198-ZXP183
Kephrii,559647,PY1041,HWP145-JDO132-FIQ167-COI138
FEDMYSTER,609723,RD1020,UYB174
Gosu,1751290,DA1063,PMW117-BJU120
supertf,196136,TP1087,
MoMaN,360418,IR1081,MCY111-BYR152-DOL102-LCI182
Kotton,253065,VB1096,
saintvicious,247236,BQ1023,FJF159-VIN110
winstrike_tv,148183,MK1092,DOL102-NOV103
pijack11,252717,QC1012,RSR181-XUM137-KXS144-FIQ167
pqueen,485787,NS1035,DRY196
Northernlion,359260,NN1099,BOC177-HVP148-PMW117
Nattank,86544,NU1040,
bmkibler,475075,HV1056,
Arteezy,634982,ZG1043,RLU104-HVP148-MWP106-ZKM134
sunbaking,251416,EB1075,PUH184
flamuu,117425,ET1065,HMK109-FJF159
Mixwell,331208,QR1018,
AntoineDanielLive,416920,NN1055,NNE115
G4G_REVENANT,284620,NA1098,PUH184
maxim,312566,TM1088,KRH188-DRY196-BGA171-UOU172
yd0821,279864,KS1095,HTR108-MWP106
c9judite,105341,QT1017,TFK195-YUQ166-PZG173
WOKE,107484,AE1038,LTE194-AAM100-DQN116
Amaz,915023,DN1001,ISJ127-INC128
ESL_SC2,305311,VB1096,VQV154-LCI182-UYB174-ZPK187
CooLifeGame,395859,AE1038,GGS114-AAM100-IKK125-BDH190
BruceGrannec,463188,CG1051,BBY119-GGS114-LWC105
CuteDog_,113658,NN1055,XEB122-VQV154-IKJ168
wtf_winds123,259338,PA1054,HWP145
theRealShooKon3,126282,CG1051,
Albralelie,240030,AE1038,EHZ179
looksam,285474,AF1078,
GTimeTV,665021,VD1067,HMK109
WagamamaTV,312799,AZ1074,HPT153
sleepy,317125,RL1050,FAE158-GCS151
FifaTargrean,396862,RD1020,LCI182-HEP135
GrandPOObear,253619,QT1017,NNE115
Pun1shers_TV,82289,OZ1085,HMK109
gamelifeow,234471,QR1018,VHS107-MWP106-LTE194
Sh4dowehhh,84234,KK1093,LWC105-ISJ127-HMK109-GZN112
LuluLuvely,431852,NZ1037,FAE158-IKJ168
Swifty,615027,AK1034,XEB122-YKM163-FAE158-YCY140
Mibrtv,250709,KS1031,GGS114-XOW164
PsheroTV,202779,QT1017,EHZ179-LWC105-RSR181-JDO132
bytarifaaa,638657,KO1014,GZN112-PZG173-HEP135
Alderiate,319860,LO1049,DIM143-HDQ185-ZZQ180-INC128
Solaaaa,309594,KF1077,
Strippin,293665,QT1017,SOQ157-YUP121-HHR156
Mendo,518090,BA1060,
Pikabooirl,237214,NU1040,SWT139
Skadoodle,611890,OA1052,
MasterSnakou,448316,OZ1085,KXS144-HPT153
lucia94,82578,XL1061,
Otzdarva,262104,DB1005,
cherrypach,240835,UE1057,UPK123-PUH184
Opat04,178477,DT1007,VVW175
icebergdoto,171113,WC1010,KXS144-VQV154-YCY140
P4wnyhof,489174,VO1090,
Mazarin1k,205378,WT1016,EZX161-ZZQ180-BBY119
kimdduddi,149158,QC1012,HPT153-DQN116-ABY186-VHS107
rooftopcat99,214028,VD1097,ZPK187-AEU118
KingGothalion,1015521,NU1040,
ItsSlikeR,283503,RO1019,VVW175-GZN112
Alinity,1203324,AK1034,TTQ129-FJF159-KUD124-HTR108
TidesofTime,251700,RQ1028,EZX161-XOW164-LCI182
GernaderJake,295771,NU1040,HTR108-BYR152-XDR142-HFO149
sutanmi,53124,VS1083,SWT139-XDR142-AZL133-DOL102
DarioMocciaTwitch,114376,NZ1037,AEU118-INC128-BJU120-JQJ162
bebe872,70232,CW1089,
Lasqa,135446,ZG1043,
