Weapon,3,Sword,A sharp and sturdy sword.,147
Consumable,4,Potion,A healing potion that restores health.,130
Armor,4,Leather Armor,Lightweight leather armor for protection.,173
Consumable,4,Fire Scroll,A magical scroll that casts a fire spell.,157
Consumable,3,Health Elixir,An elixir that greatly restores health.,160
Weapon,1,Bow,A ranged weapon for shooting arrows.,173
Armor,2,Steel Helmet,A sturdy steel helmet for head protection.,168
Weapon,2,Lightning Wand,A wand that shoots bolts of lightning.,147
Consumable,5,Mana Potion,A potion that restores mana.,136
Armor,5,Chainmail Armor,Heavy chainmail armor for protection.,136
Armor,1,Invisibility Cloak,A cloak that grants invisibility.,156
Consumable,4,Holy Water,Water blessed by a priest for healing.,166
Weapon,3,Staff,A wooden staff for casting spells.,119
Armor,1,Diamond Ring,A valuable diamond ring for extra charisma.,171
Consumable,1,Scroll of Healing,A magical scroll that heals wounds.,189
Armor,2,Leather Gloves,Leather gloves for hand protection.,176
Weapon,4,Amulet of Strength,An amulet that increases strength.,114
Weapon,3,Ice Staff,A staff that casts icy spells.,196
Consumable,1,Speed Potion,A potion that boosts speed temporarily.,124
Armor,1,Plate Armor,Heavy plate armor for maximum protection.,110
Consumable,1,Teleportation Scroll,A scroll for teleporting to a location.,140
Weapon,2,Ruby Necklace,A necklace adorned with rubies.,166
Consumable,1,Fire Resistance Potion,A potion that grants fire resistance.,129
Weapon,5,Dagger,A small and agile dagger for quick attacks.,162
Armor,5,Silver Shield,A silver shield for blocking attacks.,185
Consumable,4,Health Crystal,A crystal that restores health.,119
Armor,5,Robe of Wisdom,A magical robe that enhances wisdom.,170
Weapon,5,Light Sword,A sword that emits light when wielded.,179
Consumable,3,Gold Coin,A valuable gold coin.,186
Armor,4,Shield of Protection,A shield that provides strong defense.,163
Weapon,2,Magic Ring,A ring with mystical enchantments.,124
Weapon,5,Wand of Healing,A wand that heals injuries.,124
Consumable,5,Mana Crystal,A crystal that restores mana.,173
Armor,4,Dragon Scale Armor,Armor made from dragon scales.,119
Consumable,5,Scroll of Fireball,A scroll that casts a powerful fireball.,110
Weapon,5,Amulet of Luck,An amulet that brings luck.,165
Weapon,4,Enchanted Bow,A bow with enchanted arrows.,138
Consumable,2,Potion of Invisibility,A potion that grants invisibility.,141
Armor,4,Elven Cloak,A cloak crafted by elves for stealth.,127
Weapon,4,Staff of Lightning,A staff that conjures deadly lightning.,166
Consumable,5,Scroll of Teleportation,A scroll that teleports instantly.,167
Armor,5,Diamond Tiara,A tiara adorned with diamonds.,198
Consumable,1,Potion of Strength,A potion that enhances strength.,129
Weapon,1,Demon Blade,A cursed blade with dark powers.,158
Armor,2,Dark Armor,Armor infused with dark magic.,108
Consumable,2,Scroll of Resurrection,A scroll that revives the fallen.,109
Armor,4,Amulet of Wisdom,An amulet that enhances wisdom.,199
Consumable,2,Black Crystal,A crystal with mysterious properties.,140
Armor,2,Cursed Ring,A cursed ring that brings misfortune.,172
Weapon,4,Legendary Sword,A sword of legend with untold power.,139
