summit1g,12/11/2021,MK1092,HTR108-UPK123-SWT139-LWC105,English
Gaules,15/02/2022,CY1025,KRH188-BBY119,Portuguese
ESL_CSGO,16/11/2023,DQ1021,UFK146-CUV131-EHZ179,English
Tfue,20/05/2023,DT1007,HTR108-AUP136-LCI182,English
Asmongold,20/04/2022,RK1027,BJU120-BYR152-VIB141,English
NICKMERCS,13/02/2021,RQ1028,XOW164-KRH188-UAA197-PZG173,English
Fextralife,25/05/2022,EW1042,PMW117-IKJ168-TTQ129,English
Anomaly,21/01/2021,CG1051,PMW117-LJW189-ABY186-RFQ147,English
auronplay,10/10/2023,BK1048,BDH190,Spanish
MontanaBlack88,12/01/2021,LH1004,HFO149,German
hanryang1125,03/04/2022,TP1087,KXS144-SWT139,Korean
alanzoka,10/10/2021,MJ1009,LCI182-JDO132,Portuguese
LCK_Korea,25/12/2023,NA1098,VIB141-ZZQ180-HVP148-YCY140,Korean
Castro_1021,18/12/2021,RN1030,KRH188-WDI191-VHS107-NOV103,English
DrDisrespect,02/08/2022,RK1027,XUM137-HMK109-HEP135-OWQ126,English
TheRealKnossi,20/11/2021,AK1034,FAE158-ZZQ180,German
TheGrefg,03/12/2023,KB1047,LJW189-HJF113-RLU104-PMW117,Spanish
YoDa,14/06/2022,QR1018,PZG173-DIM143-YCY140-ISJ127,Portuguese
GamesDoneQuick,05/08/2023,IC1059,HFO149-BOC177-HTR108-XEB122,English
Solary,22/02/2021,II1076,NBF150,French
Gotaga,10/08/2023,EW1042,ZPK187,French
MOONMOON,28/11/2022,UE1057,VIN110-VHS107,English
Evelone192,27/10/2022,BA1060,XDR142-ZZQ180,Russian
Fresh,10/05/2023,TP1087,GCS151-BDH190-OQK199,English
LCS,12/04/2023,XG1006,HVP148-FJF159-XUM137,English
ROSHTEIN,23/08/2021,RO1019,KUD124-MWP106-UYB174,English
ibai,26/05/2021,HW1033,BGA171-LIX198,Spanish
LCK,22/03/2021,MI1015,UYB174-DQN116-HMK109-JUO176,English
Yassuo,26/07/2023,NS1035,HTR108-ZXP183-LWC105-GKP193,English
BeyondTheSummit,22/08/2021,ZG1043,HHR156-PMW117-AAM100-GZN112,English
csgomc_ru,03/08/2021,VD1067,HWP145-YUQ166,Russian
saddummy,05/01/2021,VX1069,FAE158,Korean
NoWay4u_Sir,15/12/2023,CW1089,UAA197,German
RiotGamesBrazil,27/05/2023,SJ1094,RFQ147-BKY101-VVW175-JQJ162,Portuguese
SolaryFortnite,06/08/2022,QT1017,YUP121-DOL102-XOW164,French
ONSCREEN,11/12/2021,QC1012,SOQ157-EHZ179-KUD124,English
AdmiralBahroo,02/07/2021,BQ1023,BZQ165-DOL102-OQK199-GZN112,English
Quin69,20/12/2022,PK1026,UYB174-HFO149-UAA197-ZXP183,English
Trymacs,17/04/2022,RD1020,HPT153-HEP135-RSR181,German
dasMEHDI,25/10/2023,XC1072,KXS144-TFK195-SOQ157-VIN110,English
sneakylol,21/09/2022,MJ1009,ZXP183-AUP136-JYS169-UPK123,English
NickEh30,19/08/2023,OR1066,GCS151-BBY119-QHJ155-ZKM134,English
fps_shaka,01/09/2021,CG1051,BPK178-DQN116,Japanese
LVPes,26/05/2021,AZ1074,FIQ167-AEU118-INC128-CUV131,Spanish
Papaplatte,05/07/2023,RQ1028,VQV154-JUO176,German
StarLadder_cs_en,06/08/2021,XC1072,FAE158-GCS151-HWP145,English
DreamHackCS,12/07/2021,RQ1028,YUP121-FJF159-JDO132-HPT153-JUO176,English
Rainbow6,13/10/2021,KS1031,OWQ126-PMW117-GCS151,English
stylishnoob4,24/07/2022,RK1027,VHS107-PMW117-IKJ168-ISJ127,Japanese
Maximilian_DOOD,08/10/2022,NU1040,HVP148-PZG173-LTE194,English
Trainwreckstv,03/03/2023,NO1070,UFK146-BJU120-EHZ179-TTQ129,English
