LosPollosTV,reds
midbeast,https://www easports com/fifa/ultimate-team/web-app/?showoffid
yamatonjp,any good bundesliga cb or bpl for around 200k
kyo1984123,no problem bro been hearing your name a lot and thought id finally meet u :) 
UberHaxorNova,kit numbers buttcheek
TSM_Viss,https://www twitch tv/realedwin
Ponce,finally my first jake ban of the day kappa sorry jake
Homyatol,the sweat is real
LVNDMARK,675de720c3b5aee1fa2c091e20fac68ef4814ae6 do u know why moobot dms me instead of sending to chat
woowakgood,nearly 500 viewers let's go
ESL_CSGOb,fe69e9e340e5eb5aeb1ab8ba2ec524c6a33ff9e2 vvd 88
StereOnline,it's so good for first time shots
Magic,joarwinston bully d:
StarLadder_cs_en,my ban
blusewilly_retry,will you get toty virgil van dick face or varane in the future
Felps,getting slapped up by an 83 year old
Kitboga,reds
crokeyz,https://www twitch tv/realedwin
Elajjaz,jake is the goat
SPYGEA,f6a9479e3d05973c76570d0175d2a62a1d110475 never gonna give you up by rick astley
Overpow,thx :)
mistermv,this game is a forking jokeeeeeeeeeeeee
StarLadder5,01070678665989b18271ad25a1f1da6f92dbb457 522 viewers lets go
so_urf,wtf is that lul
Tumblurr,01070678665989b18271ad25a1f1da6f92dbb457 why cdms on cover wing
Grimmmz,man can i ask u what can u tell about raul 92 as st have not enough money for criro:-(
HoneyMad,wow
Mickalow,tots goretza
LosPollosTV,i get pens for croquetas into defenders this game makes no sense
UNLOSTV,e3214df16861673d444661293a3053f5058287f8 lul
Xari,team of the season mane
Skyyart,can you check bernardo's stam plz
Letshe,01070678665989b18271ad25a1f1da6f92dbb457 i would try aggressive and balanced before drop back
Ponce,wait u got da costa and put mission failed for reds thats mad sus
RiotGamesRU,cr7 should be striker
39daph,back again
ybicanoooobov,i wish i was jake guy is a legend
godjj,hope that the new team in action dominates
XEWER,c57408f5ed00cc1bd11a04622cad08a16549f988 fight me
knekro,https://www twitch tv/realedwin
Brunenger,this guy you playing is so bad
Anton,just packed tradeable bruno fernandez from league sbc <3 3< <3
TSM_Viss,can you guys please lisent for a sec wy cant i get a chance men this is not fair
dota2ti_ru,deserved a goal there good build up play and green shot and his keeper bails him out
Felps,01070678665989b18271ad25a1f1da6f92dbb457 use fast build up with drop back
adolfz,we need gameplay
itmeJP,013e821f4abd3315b33607ba2cb49e56f79ab646 eww
CDNThe3rd,off
Squeezie,675de720c3b5aee1fa2c091e20fac68ef4814ae6 oh ok ty
blxckoutz,baaaaaaaaaaan
Method,c57408f5ed00cc1bd11a04622cad08a16549f988 i think so too
RiotGamesRU,jake getting shot down quicker than malaysia airlines flight 370 kappa
hardgamechannel,i bet he's playing the mighty jake
H2P_Gucio,your defence looks way now 01070678665989b18271ad25a1f1da6f92dbb457
ROSHTEIN,i've spent 1 2mil on fitness card and my teams worth a similar price
XEWER,https://www twitch tv/realedwin
Ponce,a954227235571316131abb831a9fba6d5131b94a they must remove la croquetta bro and tornados cross
Elajjaz, there's a cool of period on the commands it's to prevent spamming
Distortion2,david luiz is an animal for me
obm1025,i personally felt good about the patch notes
Trainwreckstv,bae
LPL, i love ur kit ihave that one and the blue pinkand white latin kit
SPYGEA,#letjakefree
MontanaBlack88,way tooooo much
dasMEHDI,013e821f4abd3315b33607ba2cb49e56f79ab646 which would you prefer
Scarra,ty
39daph,wttf
boyMinORu, its lengthy ea say for next version fixing the broken mechanics
lestream,06cebc5aa4e9aa0c6d57b8916ca674a6198efb43 have fun
MinosTV_,you need a vieira
Sjow,vieira is the answer
polsatgames,c57408f5ed00cc1bd11a04622cad08a16549f988 wow
aXtLOL,or goretzka
bratishkinoff,finally
Gotaga,bpm op
dafran,that guy is such a meta abuser lul lul lul
RoyalPhunk,what gameplay is this
ddahyoni,e3214df16861673d444661293a3053f5058287f8 lul
alanzoka,cos you dont grind
bysTaXx,go high depth bro u giving too much space 01070678665989b18271ad25a1f1da6f92dbb457
NeVeR_LosEs,the pass this fifa is awful
VooDooSh,jake pls come back i wont ban you again
Skyyart,fifa = forking intriguing football aids
orangemorange,you're playing against a fellow romanian mass
Dota2ruhub2,c98e04ba3b487f9c5af40f819c3a663947910059 i can spam how much i want kappa
UNLOSTV,https://www twitch tv/realedwin
GamesDoneQuick,holy sh*t players are up so much with tots i could sell my team and make like 5 mill profit
Dota2ruhub2,best chem for tots salah
Llobeti4,731430e6a38d5dbe9abf28bf0029eddee1191337 just checking you sexy bum
crokeyz,bong break
juansguarnizo,kappa
FPSThailand,i want to unban him
knekro,dc united are interrested in ashley young
SummonersInnLive,current song
fps_shaka,reds
lol_woolf,pen :o
StereOnline,pressure on heavy is amazing
HGmony,4f478197ee0bcf79f9858de8c6c68e0871333e7b
BlackUFA,c57408f5ed00cc1bd11a04622cad08a16549f988 way gone
Jahrein,will you get toty virgil van dick face or varane in the future
WELOVEGAMES,edwinnraid edwinnraid edwinnraid edwinnraid edwinnraid
Nadeshot,bruh
naseongkim,gameplay looks very quick
Fresh,15 mil maybe when you think you got some yourself too
BeyondTheSummit,ronaldo is such a gamechanger for me
RoyalPhunk,full high 01070678665989b18271ad25a1f1da6f92dbb457
lilypichu,easy xd
just_ns,he is*
SilverName,this game so good gameplay i wish i had that skill
boyMinORu,go high depth it helps 01070678665989b18271ad25a1f1da6f92dbb457
mch_AGG,and just like that
boyMinORu,potm
Domingo,tots lacazette over tots aguero
HoneyMad,01070678665989b18271ad25a1f1da6f92dbb457 will you try toty messi this fifa or can you not afford
DatModz,675de720c3b5aee1fa2c091e20fac68ef4814ae6 how could i be him lmao
BarbarousKing,731430e6a38d5dbe9abf28bf0029eddee1191337 random legend
Evelone192,01070678665989b18271ad25a1f1da6f92dbb457 i've genuinely never bought one lul
ESL_CSGOb,01070678665989b18271ad25a1f1da6f92dbb457 do u ever slide tackle
hardgamechannel,edwinnraid edwinnraid edwinnraid edwinnraid edwinnraid edwinnraid edwinnraid edwinnraid
MinosTV_,is lw willian any good
pimpimenta,https://www twitch tv/realedwin
dota2ti,lmfaaoooooo !reds:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy
Magic,who's better tots ederson or tots alisson v
NOBRU,41212 swap cbs
SummonersInnLive,that team
Squeezie,give bernanrdo a hunter 01070678665989b18271ad25a1f1da6f92dbb457
C_a_k_e,tots havertz is miles better tho 01070678665989b18271ad25a1f1da6f92dbb457
Stray228,3a0f127daae660a45011aef3acb89980f38bdccd ofc is micheal owen mate
SolaryFortnite,31475a0d54a9380509a415c7e28f7f6b75527674 can't compare those
Nadeshot,ouch
blxckoutz,https://www twitch tv/realedwin
ZanoXVII,imagine playing menus 19 with 500 viewers kappa
ALOHADANCETV,i use 7 depth pretty good high line but not too exposed
adolfz,c57408f5ed00cc1bd11a04622cad08a16549f988 could mean a few things kappa
RebirthzTV,69842b342cd722f7046f3fb3d8499b767c0661f7 welcome back
Smurfdomuca,subs off mitro
VooDooSh,lul
Anthony_Kongphan,https://www twitch tv/realedwin
hardgamechannel,bernardo got good stamina
yapyap30,this guy is playing very well
rkdwl12,drop back man
Felps,ahhhh red one i see
itmeJP,c3e9b20869a4efc9487232e339ee8a45751d79a0 damn straight
crokeyz,sbc
MinosTV_,#welcomebackjake
UNLOSTV,u like pogba more or vieira 01070678665989b18271ad25a1f1da6f92dbb457
