V00097,P0106,UNIDAD,1,12,0%
V00009,P0200,UNIDAD,1,18,0%
V00044,P0021,CAJA12,12,7,13%
V00071,P0020,PAQ50,50,2,26%
V00045,P0050,PAQ20,20,1,13%
V00092,P0173,CAJA24,24,8,19%
V00038,P0200,UNIDAD,1,5,0%
V00010,P0072,CAJA100,100,5,33%
V00096,P0209,UNIDAD,1,14,0%
V00067,P0017,UNIDAD,1,7,0%
V00053,P0126,UNIDAD,1,18,0%
V00022,P0063,PAQ50,50,3,26%
V00075,P0146,CAJA100,100,3,33%
V00099,P0196,PAQ20,20,6,13%
V00091,P0170,UNIDAD,1,3,0%
V00007,P0156,PAQ10,10,5,8%
V00014,P0115,UNIDAD,1,16,0%
V00077,P0148,CAJA12,12,8,13%
V00089,P0167,UNIDAD,1,4,0%
V00089,P0061,PAQ50,50,4,26%
V00082,P0046,UNIDAD,1,15,0%
V00005,P0021,CAJA100,100,1,33%
V00100,P0154,UNIDAD,1,17,0%
V00084,P0102,UNIDAD,1,4,0%
V00105,P0188,UNIDAD,1,5,0%
V00070,P0067,PAQ25,25,1,21%
V00009,P0179,UNIDAD,1,8,0%
V00059,P0197,UNIDAD,1,8,0%
V00033,P0170,UNIDAD,1,13,0%
V00051,P0197,CAJA100,100,6,33%
V00045,P0150,PAQ20,20,4,13%
V00066,P0153,PAQ25,25,6,21%
V00078,P0031,CAJA24,24,1,19%
V00101,P0100,UNIDAD,1,9,0%
V00010,P0055,UNIDAD,1,15,0%
V00100,P0003,UNIDAD,1,1,0%
V00028,P0173,UNIDAD,1,12,0%
V00014,P0117,CAJA24,24,7,19%
V00033,P0199,UNIDAD,1,9,0%
V00056,P0038,CAJA100,100,1,33%
V00086,P0032,UNIDAD,1,11,0%
V00032,P0075,UNIDAD,1,1,0%
V00024,P0212,UNIDAD,1,5,0%
V00107,P0155,CAJA48,48,6,23%
V00074,P0052,PAQ20,20,4,13%
V00071,P0031,PAQ25,25,2,21%
V00091,P0102,UNIDAD,1,18,0%
V00097,P0068,PAQ10,10,5,8%
V00102,P0011,PAQ50,50,6,26%
V00012,P0196,UNIDAD,1,16,0%
V00094,P0172,UNIDAD,1,1,0%
V00007,P0071,UNIDAD,1,13,0%
V00055,P0023,UNIDAD,1,7,0%
V00038,P0159,UNIDAD,1,9,0%
V00067,P0033,PAQ50,50,7,26%
V00039,P0180,UNIDAD,1,5,0%
V00082,P0150,UNIDAD,1,2,0%
V00106,P0080,UNIDAD,1,12,0%
V00102,P0183,UNIDAD,1,5,0%
V00090,P0087,UNIDAD,1,13,0%
V00020,P0078,PAQ50,50,1,26%
V00079,P0001,PAQ50,50,6,26%
V00038,P0084,UNIDAD,1,6,0%
V00072,P0158,PAQ20,20,4,13%
V00026,P0079,UNIDAD,1,8,0%
V00032,P0014,UNIDAD,1,10,0%
V00066,P0042,CAJA100,100,2,33%
V00052,P0153,CAJA12,12,4,13%
V00048,P0057,UNIDAD,1,11,0%
V00023,P0095,UNIDAD,1,11,0%
V00057,P0165,PAQ50,50,2,26%
V00023,P0183,UNIDAD,1,7,0%
V00099,P0184,CAJA24,24,6,19%
V00013,P0160,PAQ20,20,3,13%
V00033,P0172,PAQ10,10,4,8%
V00039,P0172,PAQ50,50,8,26%
V00038,P0030,UNIDAD,1,10,0%
V00073,P0202,UNIDAD,1,18,0%
V00056,P0110,PAQ50,50,5,26%
V00018,P0093,PAQ25,25,4,21%
V00018,P0201,UNIDAD,1,16,0%
V00036,P0213,UNIDAD,1,11,0%
V00035,P0109,UNIDAD,1,6,0%
V00016,P0120,UNIDAD,1,17,0%
V00072,P0085,PAQ20,20,3,13%
V00054,P0033,CAJA100,100,1,33%
V00046,P0143,UNIDAD,1,13,0%
V00001,P0213,UNIDAD,1,15,0%
V00106,P0100,CAJA48,48,7,23%
V00002,P0080,UNIDAD,1,2,0%
V00011,P0104,UNIDAD,1,5,0%
V00062,P0051,UNIDAD,1,7,0%
V00007,P0176,UNIDAD,1,9,0%
V00106,P0121,UNIDAD,1,2,0%
V00012,P0075,UNIDAD,1,7,0%
V00099,P0077,UNIDAD,1,10,0%
V00038,P0212,UNIDAD,1,4,0%
V00103,P0074,PAQ50,50,1,26%
V00106,P0143,UNIDAD,1,6,0%
V00067,P0050,PAQ10,10,4,8%
V00050,P0136,UNIDAD,1,4,0%
V00051,P0166,CAJA24,24,8,19%
V00003,P0013,CAJA24,24,7,19%
V00033,P0088,UNIDAD,1,16,0%
V00092,P0017,UNIDAD,1,7,0%
V00053,P0086,UNIDAD,1,2,0%
V00047,P0048,CAJA100,100,3,33%
V00079,P0007,CAJA48,48,1,23%
V00018,P0188,PAQ20,20,3,13%
V00056,P0193,UNIDAD,1,6,0%
V00097,P0041,PAQ50,50,7,26%
V00044,P0040,PAQ10,10,7,8%
V00003,P0099,UNIDAD,1,6,0%
V00073,P0041,UNIDAD,1,6,0%
V00077,P0095,UNIDAD,1,17,0%
V00010,P0104,UNIDAD,1,12,0%
V00085,P0151,UNIDAD,1,12,0%
V00033,P0066,CAJA12,12,1,13%
V00105,P0188,PAQ50,50,8,26%
V00081,P0183,PAQ50,50,2,26%
V00003,P0181,CAJA24,24,3,19%
V00021,P0190,UNIDAD,1,11,0%
V00058,P0189,UNIDAD,1,9,0%
V00029,P0157,UNIDAD,1,5,0%
V00046,P0148,UNIDAD,1,13,0%
V00084,P0095,CAJA12,12,6,13%
V00039,P0006,CAJA100,100,1,33%
V00057,P0208,UNIDAD,1,16,0%
V00094,P0089,PAQ20,20,4,13%
V00011,P0142,UNIDAD,1,17,0%
V00037,P0050,UNIDAD,1,8,0%
V00009,P0127,UNIDAD,1,13,0%
V00002,P0168,UNIDAD,1,2,0%
V00091,P0125,CAJA48,48,5,23%
V00080,P0044,CAJA12,12,2,13%
V00072,P0063,UNIDAD,1,11,0%
V00058,P0131,PAQ10,10,8,8%
V00085,P0032,PAQ20,20,5,13%
V00045,P0144,UNIDAD,1,18,0%
V00013,P0050,PAQ20,20,8,13%
V00070,P0201,UNIDAD,1,10,0%
V00063,P0055,PAQ10,10,3,8%
V00022,P0204,UNIDAD,1,10,0%
V00003,P0014,CAJA24,24,6,19%
V00066,P0091,UNIDAD,1,9,0%
V00099,P0117,CAJA48,48,4,23%
V00045,P0020,CAJA48,48,7,23%
V00024,P0131,CAJA100,100,8,33%
V00027,P0049,CAJA100,100,3,33%
V00017,P0022,UNIDAD,1,5,0%
V00071,P0148,UNIDAD,1,10,0%
V00081,P0123,UNIDAD,1,11,0%
V00020,P0131,UNIDAD,1,1,0%
V00099,P0154,UNIDAD,1,11,0%
V00053,P0088,UNIDAD,1,11,0%
V00019,P0063,CAJA12,12,8,13%
V00047,P0003,PAQ50,50,2,26%
V00052,P0086,CAJA100,100,8,33%
V00073,P0211,UNIDAD,1,5,0%
V00077,P0108,UNIDAD,1,10,0%
V00066,P0028,UNIDAD,1,4,0%
V00039,P0169,UNIDAD,1,4,0%
V00028,P0168,CAJA48,48,2,23%
