V00001,C0277,2026-07-07,WEB
V00002,C0407,2026-06-09,TIENDA
V00003,C0361,2026-04-13,TELEFONO
V00004,C0522,2026-06-13,WEB
V00005,C0101,2026-05-05,TELEFONO
V00006,C0320,2026-06-20,WEB
V00007,C0287,2026-07-20,TIENDA
V00008,C0363,2026-08-19,TELEFONO
V00009,C0310,2026-07-03,TIENDA
V00010,C0252,2026-08-28,WEB
V00011,C0459,2026-02-12,WEB
V00012,C0292,2026-04-11,VENDEDOR
V00013,C0204,2026-05-16,TELEFONO
V00014,C0233,2026-06-22,VENDEDOR
V00015,C0153,2026-04-07,TELEFONO
V00016,C0433,2026-07-15,WEB
V00017,C0229,2026-01-24,WEB
V00018,C0421,2026-07-23,WEB
V00019,C0332,2026-04-10,VENDEDOR
V00020,C0546,2026-01-06,TELEFONO
V00021,C0139,2026-04-01,TIENDA
V00022,C0481,2026-05-11,VENDEDOR
V00023,C0369,2026-04-04,TIENDA
V00024,C0416,2026-07-05,TIENDA
V00025,C0390,2026-02-23,WEB
V00026,C0097,2026-03-05,TELEFONO
V00027,C0471,2026-01-11,TIENDA
V00028,C0531,2026-03-15,TIENDA
V00029,C0360,2026-02-17,WEB
V00030,C0117,2026-04-13,WEB
V00031,C0535,2026-07-15,TIENDA
V00032,C0377,2026-02-15,VENDEDOR
V00033,C0188,2026-02-13,TELEFONO
V00034,C0301,2026-02-15,WEB
V00035,C0106,2026-03-16,WEB
V00036,C0500,2026-04-22,TELEFONO
V00037,C0191,2026-02-10,TELEFONO
V00038,C0436,2026-02-14,WEB
V00039,C0391,2026-02-14,TELEFONO
V00040,C0130,2026-02-04,WEB
V00041,C0340,2026-07-20,TELEFONO
V00042,C0518,2026-01-27,TIENDA
V00043,C0544,2026-02-27,WEB
V00044,C0486,2026-08-12,TIENDA
V00045,C0105,2026-04-06,VENDEDOR
V00046,C0053,2026-05-05,TIENDA
V00047,C0142,2026-05-07,VENDEDOR
V00048,C0164,2026-07-04,TIENDA
V00049,C0010,2026-01-10,TELEFONO
V00050,C0151,2026-04-21,TIENDA
V00051,C0314,2026-05-13,VENDEDOR
V00052,C0440,2026-03-14,WEB
V00053,C0319,2026-08-22,WEB
V00054,C0177,2026-06-28,VENDEDOR
V00055,C0062,2026-01-13,WEB
V00056,C0044,2026-07-09,TELEFONO
V00057,C0346,2026-01-05,TELEFONO
V00058,C0489,2026-03-05,WEB
V00059,C0039,2026-07-24,TELEFONO
V00060,C0059,2026-02-01,TELEFONO
V00061,C0280,2026-07-14,WEB
V00062,C0241,2026-04-09,TELEFONO
V00063,C0165,2026-01-24,VENDEDOR
V00064,C0027,2026-03-30,WEB
V00065,C0515,2026-03-12,WEB
V00066,C0426,2026-01-28,VENDEDOR
V00067,C0371,2026-01-23,TIENDA
V00068,C0324,2026-04-25,TELEFONO
V00069,C0006,2026-06-12,WEB
V00070,C0034,2026-03-17,TIENDA
V00071,C0294,2026-03-05,WEB
V00072,C0526,2026-04-21,TIENDA
V00073,C0150,2026-05-09,TIENDA
V00074,C0533,2026-03-18,WEB
V00075,C0353,2026-05-31,TIENDA
V00076,C0544,2026-06-09,VENDEDOR
V00077,C0332,2026-03-15,TELEFONO
V00078,C0459,2026-07-08,VENDEDOR
V00079,C0500,2026-01-09,TELEFONO
V00080,C0471,2026-06-26,VENDEDOR
V00081,C0191,2026-07-25,WEB
V00082,C0153,2026-01-25,VENDEDOR
V00083,C0059,2026-02-28,VENDEDOR
V00084,C0340,2026-04-07,TELEFONO
V00085,C0292,2026-05-16,VENDEDOR
V00086,C0188,2026-07-14,WEB
V00087,C0165,2026-08-20,TIENDA
V00088,C0117,2026-01-17,VENDEDOR
V00089,C0546,2026-03-25,VENDEDOR
V00090,C0101,2026-01-26,TELEFONO
V00091,C0433,2026-07-03,TELEFONO
V00092,C0164,2026-06-02,TELEFONO
V00093,C0371,2026-07-17,TIENDA
V00094,C0027,2026-07-26,WEB
V00095,C0151,2026-02-27,WEB
V00096,C0105,2026-02-10,WEB
V00097,C0044,2026-06-10,VENDEDOR
V00098,C0039,2026-07-03,VENDEDOR
V00099,C0130,2026-05-28,WEB
V00100,C0177,2026-08-08,VENDEDOR
V00101,C0053,2026-05-07,TELEFONO
V00102,C0006,2026-08-13,TELEFONO
V00103,C0533,2026-02-20,TIENDA
V00104,C0535,2026-04-14,VENDEDOR
V00105,C0531,2026-01-25,WEB
V00106,C0310,2026-04-25,WEB
V00107,C0407,2026-04-09,TIENDA
